"ID","AREA","NAME","TYPE","SUMMARY","ADDRESS","TEL","PAYEX","SERVICETIME","TW97X","TW97Y","TOTALCAR","TOTALMOTOR","TOTALBIKE"
"010056","板橋區","遠東百貨停車場","2","立體式建築附設停車空間","板橋區中山路一段152號","02-23816155","小型車計時60元;","0~24時","296882","2767068","453","0",""
"060040","新店區","崇光女子高中地下停車場","2","立體式-機械建築附設停車空間","新北市新店區三民路19號B2","02-29112543","小型車月租3000元;","0~24時","304461.5","2762748.5","60","0",""
"120005","瑞芳區","水湳洞停車場","2","平面式臨時路外停車場","新北市瑞芳區水湳洞段4、4-1、27-3、27-9地號(台2線78.5K)","","小型車免費;","平日8~17時、例假日8~19時","337177","2779563.5","300","0",""
"020051","三重區","台灣省漁會三重示範魚市場停車場","2","平面式多目標附建停車場","三重區力行路一段6號","29822136","小型車計時30元;","0~24時","299273","2773234.5","110","0",""
"060039","新店區","臺北科學城停車場","2","立體式多目標附建停車場","新北市新店區北新路三段213號B1、B3與B4","2914-7089","小型車計時40元;小型車月租4500元;","7:00至23:00","304522.5","2764336.5","366","0",""
"010086","板橋區","遠東資源開發股份有限公司遠東路1號營業所停車場","2","立體式建築附設停車空間","新北市板橋區遠東路1號地下一層","7741-5000#583","機車計時10元;小型車計時30元;","7:00至23:00","296147","2765704","75","41",""
"010091","板橋區","金板神大樓地下停車場","2","立體式建築附設停車空間","新北市板橋區南雅東路20-6號B2","0932241641；0988018105","小型車計時30元;小型車月租2600元;","15時~24時","295886","2766560.5","20","0",""
"280008","萬里區","萬里區商業文教綜合大樓地下停車場","2","立體式建築附設停車空間","萬里區瑪鍊路221號","2492-2064#312","小型車月租1000元;","0~24時","319522.5","2785872","18","0",""
"270005","金山區","水尾停車場","2","立體式都市計畫停車場","新北市金山區民生路190號前","","小型車免費;大型車免費;","0~24時","315148.7","25.22236","111","30",""
"100029","淡水區","油車口(B區)停車場","2","立體式都市計畫停車場","新北市淡水區中正路1段87巷與沙崙路交岔口(B區)","","大型車計次120元;小型車計次60元;","0~24時","292371.3","2785909","204","0",""
"100028","淡水區","竿蓁大型車停車場","2","","新北市淡水區竿蓁一街(海鷗段339地號)","","大型車計時40元;","0~24時","295267.5","2784235","0","0",""
"020025","三重區","新北市果菜運銷股份有限公司停車場","2","立體式多目標附建停車場","三重區中正北路111號","2988-3830",";","0~14時","299132.5","2773015.5","73","0",""
"070008","樹林區","板樹停車場","2","平面式多目標附建停車場","樹林區水源街及板橋區溪城路","2831-7499","小型車計時20元;小型車月租4000元;","0~24時","293176.195689","2763740.877695","183","0",""
"100006","淡水區","淡水國中停車場","2","平面式多目標附建停車場","新北市淡水區真理街10號","2621-2758","小型車計時40元;","國定例假日6~20時","294004","2785201.5","18","0",""
"100017","淡水區","淡水馬偕紀念醫院附設收費停車場","1","立體式建築附設停車空間","新北市淡水區民權路47號(馬偕樓B2、B3及綜研大樓)","2809-4661","小型車計時40元;小型車計時30元;小型車計時20元;小型車計次360元;","0~24時","296577","2781254","360","0",""
"050124","新莊區","新北市新莊區公所行政大樓地下2樓附設收費停車場","2","立體式-機械建築附設停車空間","新北市新莊區中正路176號B2","29929891","小型車計時20元;","0~24時","295421.9","2769861","13","0",""
"050126","新莊區","好市多新莊店停車場","1","立體式建築附設停車空間","新北市新莊區建國一路138號","4499909","小型車免費;小型車免費;","10時~21時30分","293866","2768891","503","227",""
"060026","新店區","德安停車場","2","平面式臨時路外停車場","新北市新店區安康路二段300-2號","0936888777","小型車計時20元;小型車月租2000元;","10~21時","300915.5","2761234.5","43","0",""
"170051","林口區","環球購物中心林口A9停車場","2","立體式建築附設停車空間","新北市林口區文化三路1段2號B2、B3","26069669#7011","小型車計時100元;小型車月租8000元;機車計次100元;","0~24時","286479.3","2773151","91","103",""
"010165","板橋區","板橋果菜批發市場第二停車場","2","平面式都市計畫停車場","新北市板橋區板城路1000號對面","89651000","小型車計時20元;小型車月租2,700元;小型車月租900元;","0~24時","295340.667","2767942.154","187","0",""
"050135","新莊區","亞昕采匯收費停車場","2","立體式建築附設停車空間","新北市新莊區福美街128巷30號B1、B2","85222370","小型車計時100元;","週一~週五10時~16時","296637.6","2772267","37","0",""
"060022","新店區","中興停車場","2","平面式建築附設停車空間","新北市新店區中興路三段131號","89111792","小型車月租3000元;","0~24時","304983.5","2763578","35","0",""
"010166","板橋區","普廣停車場","2","平面式臨時路外停車場","新北市板橋區民生路3段323號左邊77公尺處","0976385250","小型車月租2500元;","0~24時","296712.4","2769411","29","0",""
"010126","板橋區","亞東醫院停車場","2","立體式建築附設停車空間","新北市板橋區高爾富路300號1F~3F及B2-B4","8967-5872","小型車計時100元;小型車月租6000元;機車計次60元;機車月租800元;","0~24時","295756.3","2765843","440","839",""
"240004","平溪區","安達停車場","2","平面式臨時路外停車場","新北市平溪區菁桐街64號","0912595719","小型車計次100元;","9~18時","322916.993","2768542.71","21","0",""
